element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
1,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
1,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
2,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
2,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
3,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
3,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
4,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
4,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
5,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
5,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
6,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
6,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
7,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
7,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
8,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
8,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
9,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
9,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
10,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
10,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
11,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
11,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
12,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
12,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
13,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
13,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
14,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
14,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
15,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
15,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
16,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
16,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
17,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
17,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
18,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
18,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
19,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
19,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
20,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
20,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
21,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
21,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
22,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
22,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
23,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
23,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
24,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
24,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
25,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
25,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
26,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
26,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
27,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
27,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
28,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
28,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
29,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
29,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
30,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
30,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
31,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
31,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
32,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
32,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
33,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
33,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
34,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
34,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
35,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
35,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
36,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
36,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
37,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
37,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
38,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
38,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
39,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
39,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
40,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
40,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
41,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
41,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
42,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
42,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
43,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
43,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
44,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
44,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
45,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
45,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
46,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
46,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
47,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
47,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
48,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
48,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
49,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
49,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
50,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
50,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
51,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
51,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
52,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
52,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
53,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
53,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
54,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
54,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
55,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
55,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
56,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
56,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
57,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
57,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
58,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
58,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
59,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
59,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
60,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
60,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
61,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
61,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
62,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
62,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
63,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
63,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
64,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
64,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
65,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
65,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
66,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
66,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
67,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
67,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
68,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
68,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
69,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
69,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
70,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
70,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
71,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
71,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
72,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
72,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
73,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
73,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
74,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
74,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
75,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
75,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
76,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
76,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
77,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
77,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
78,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
78,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
79,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
79,0.024,WL_Ang30_Q1,LX,WL_Ang30_Q1,Deck Elements,6.0
80,0.082,WL_Ang30_Q1,LY,WL_Ang30_Q1,Deck Elements,6.0
